id,name,lat,long,estimate
1,Alaska,61.370716,-152.404419,95.80%
2,Nevada,38.313515,-117.055374,87.80%
3,Utah,40.150032,-111.862434,75.20%
4,Idaho,44.240459,-114.478828,70.40%
5,Oregon,44.572021,-122.070938,60.40%
6,Arizona,33.729759,-111.431221,56.80%
7,Wyoming,42.755966,-107.30249,55.90%
8,California,36.116203,-119.681564,52.10%
9,New Mexico,34.840515,-106.248482,47.40%
10,Colorado,39.059811,-105.311104,43.30%
11,Washington,47.400902,-121.490494,41.90%
12,Montana,46.921925,-110.454353,37.50%
13,New York,42.165726,-74.948051,37.10%
14,Florida ,27.766279,-81.686783,29.20%
15,Michigan,43.326618,-84.536095,28.10%
16,Minnesota,45.694454,-93.900192,23.50%
17,Hawaii,21.094318,-157.498337,19.00%
18,New Jersey,40.298904,-74.521011,18.30%
19,New Hampshire,43.452492,-71.563896,18.00%
20,Wisconsin,44.268543,-89.616508,17.80%
21,Arkansas,34.969704,-92.373123,17.30%
22,Virginia,37.769337,-78.169968,17.10%
23,West Virgina,38.491226,-80.954453,16.50%
24,Pennsylvania,40.590752,-77.209755,16.10%
25,Vermont,44.045876,-72.710686,15.80%
26,North Carolina,35.630066,-79.806419,14.60%
27,Tennessee,35.747845,-86.692345,14.10%
28,Kentucky,37.66814,-84.670067,11.80%
29,South Carolina,33.856892,-80.945007,11.80%
30,Missouri,38.456085,-92.288368,11.20%
31,Mississippi,32.741646,-89.678696,10.90%
32,Louisiana,31.169546,-91.867805,10.70%
33,Georgia,33.040619,-83.643074,9.70%
34,North Dakota,47.528912,-99.784012,9.10%
35,South Dakota,44.299782,-99.438828,8.90%
36,Maryland,39.063946,-76.802101,7.60%
37,Delaware,39.318523,-75.507141,7.40%
38,Alabama,32.806671,-86.79113,7.10%
39,Massachusetts,42.230171,-71.530106,6.30%
40,Connecticut,41.597782,-72.755371,6.20%
41,Maine,44.693947,-69.381927,5.70%
42,Oklahoma,35.565342,-96.928917,4.60%
43,Indiana,39.849426,-86.258278,4.50%
44,Ohio,40.388783,-82.764915,4.20%
45,Texas,31.054487,-97.563461,4.20%
46,Illinois,40.349457,-88.986137,4.10%
47,Iowa,42.011539,-93.210526,2.80%
48,Nebraska,41.12537,-98.268082,2.80%
49,Kansas,38.5266,-96.726486,1.90%
50,Rhode Island,41.680893,-71.51178,1.50%
